building_id,building,footprint_sqft,estimated_floors,total_sqft,warning_flags,lat,lon
282394,hospital,186829.31093779157,25,4670732.773444789,large_sqft,40.69957556348429,-73.94238975658652
234970,commercial,458746.7927236237,7,3211227.549065366,large_sqft,40.61008886276401,-73.92014558340131
330650,apartments,127763.57514440869,23,2938562.2283214,large_sqft,40.693500085784635,-74.00014429045902
613,apartments,55339.24962304202,52,2877640.980398185,large_sqft,40.68978733406955,-73.9849501931447
53025,apartments,50879.37474633418,55,2798365.61104838,large_sqft,40.68721941442768,-73.98064560080827
331526,construction,56146.786519041736,47,2638898.966394962,large_sqft,40.68897163777854,-73.97982451771007
593,civic,216081.20671200412,12,2592974.4805440493,large_sqft,40.682637840907155,-73.97530205060876
291638,yes,66893.17873034334,38,2541940.7917530467,large_sqft,40.69320309409724,-73.98670730047245
617,apartments,56831.954545075554,40,2273278.181803022,large_sqft,40.734960857449764,-73.9608593661519
258243,hospital,110345.38745230305,20,2206907.749046061,large_sqft,40.654951075031065,-73.91241866000853
330733,apartments,86903.18209154182,25,2172579.5522885453,large_sqft,40.579369748447206,-73.97387983333071
89892,industrial,410378.6332352842,5,2051893.1661764209,large_sqft,40.588425848276835,-73.97620954981593
602,yes,247704.9795714911,8,1981639.8365719288,large_sqft,40.64391228034426,-74.02495931180464
9940,office,41224.785639874404,47,1937564.925074097,large_sqft,40.69461325726282,-73.98770597109021
117268,hospital,75171.58327968937,25,1879289.581992234,large_sqft,40.60792139911292,-74.0242762092593
153312,yes,106336.28659735147,17,1807716.872154975,large_sqft,40.65990351789276,-74.00390298285538
331491,museum,105017.25920627844,17,1785293.4065067335,large_sqft,40.67098968014103,-73.96354480121832
290699,hospital,102979.17457252076,17,1750645.9677328528,large_sqft,40.6906301506054,-73.97788930525613
618,apartments,83234.51712640724,21,1747924.859654552,large_sqft,40.701943472536605,-73.98573885218413
329508,apartments,42956.95331314442,40,1718278.1325257767,large_sqft,40.72686413441666,-73.96066861183051
328078,apartments,68064.1333191388,24,1633539.1996593312,large_sqft,40.57609467429442,-73.98300230749308
14119,yes,200111.2256621646,8,1600889.8052973168,large_sqft,40.644597251636924,-74.02612558699579
50625,yes,75051.75729199557,21,1576086.9031319069,large_sqft,40.69029534791552,-73.98603601064445
272992,apartments,57414.39334292316,26,1492774.226916002,large_sqft,40.665085020841666,-73.95805789894646
211648,yes,357099.36109850125,4,1428397.444394005,large_sqft,40.65067595612062,-73.90048982454185
328805,apartments,43095.912310829124,33,1422165.1062573611,large_sqft,40.70220573196319,-73.99078390136711
29736,yes,279195.6537862026,5,1395978.268931013,large_sqft,40.6637067542575,-73.86255677646275
300588,hospital,97811.35721799849,14,1369359.001051979,large_sqft,40.66781235804588,-73.97910733640565
328142,apartments,62658.005769480296,21,1315818.1211590862,large_sqft,40.572478498778096,-74.00077278424337
28,yes,72201.07028937415,18,1299619.2652087347,large_sqft,40.69557805639537,-73.98950969832605
329188,warehouse,143762.11542398686,9,1293859.0388158818,large_sqft,40.67093923542585,-74.00943767202419
328819,apartments,24712.562060762633,52,1285053.227159657,large_sqft,40.682741127722295,-73.97418040092718
329319,apartments,56843.737793266715,22,1250562.2314518676,large_sqft,40.70968088150705,-73.96910924248611
9902,yes,65554.76906360824,19,1245540.6122085566,large_sqft,40.69389300124771,-73.98941574345066
14138,yes,112417.20031185145,11,1236589.203430366,large_sqft,40.65001490725061,-74.0236950900478
63254,apartments,51492.80097040444,24,1235827.2232897065,large_sqft,40.57781726826278,-74.00230157110319
53043,residential,49311.672328718734,25,1232791.8082179683,large_sqft,40.688253190265904,-73.98320831477199
328443,apartments,18126.638305867677,68,1232611.404799002,large_sqft,40.691784615446934,-73.98297859840045
273449,yes,37202.78004850437,32,1190488.9615521398,large_sqft,40.66772000113105,-73.95988305580637
327288,yes,21698.734256830052,54,1171731.649868823,large_sqft,40.691643283881156,-73.98573273357013
240,yes,117150.42779731523,10,1171504.2779731522,large_sqft,40.653396527741066,-74.01419501530552
57914,yes,82180.24992075104,14,1150523.4988905145,large_sqft,40.68260695550738,-73.96823895371097
194660,warehouse,285627.122793694,4,1142508.491174776,large_sqft,40.69158603884105,-74.00259444567924
54327,retail,225845.56876055378,5,1129227.843802769,large_sqft,40.67142540906656,-74.01116838763733
153325,commercial,139791.557623608,8,1118332.460988864,large_sqft,40.659352966205724,-74.0044662946574
329322,yes,24695.327703588566,45,1111289.7466614854,large_sqft,40.71594628076879,-73.96661729103187
327924,construction,48072.595997414464,23,1105669.7079405326,large_sqft,40.68071203189128,-73.98844815858304
328000,warehouse,271733.6850124482,4,1086934.7400497927,large_sqft,40.659125963408954,-73.86884104358509
153309,yes,108530.64158619897,10,1085306.4158619896,large_sqft,40.65765208844582,-74.00617047871317
272864,military,120274.46457809546,9,1082470.1812028592,large_sqft,40.66873412102186,-73.95474079722757
329349,industrial,215239.47199658208,5,1076197.3599829103,large_sqft,40.678174315178474,-73.89967104828615
291844,yes,151880.17232717143,7,1063161.2062902,large_sqft,40.67893124283195,-73.9315987920007
151774,yes,105657.47910054978,10,1056574.7910054978,large_sqft,40.64654222956595,-74.02108566598486
211319,yes,348404.8403193643,3,1045214.5209580928,large_sqft,40.649255003104486,-73.9021257459478
313112,apartments,31502.431830807604,33,1039580.2504166509,large_sqft,40.72003379613481,-73.9635096910725
314929,industrial,129738.48904201374,8,1037907.9123361099,large_sqft,40.732345099278334,-73.94570529451572
131,hospital,94207.3029645792,11,1036280.3326103712,large_sqft,40.585185746345914,-73.96506703058687
13712,public,43084.65230019941,24,1034031.6552047858,large_sqft,40.69214200105756,-73.99048433906009
153310,yes,60375.02058826848,17,1026375.3500005642,large_sqft,40.65798022453945,-74.00543919509674
291631,yes,53715.898553348416,19,1020602.0725136199,large_sqft,40.693287155273225,-73.98572071346776
299668,yes,101685.00652927373,10,1016850.0652927372,large_sqft,40.66292829169977,-73.98298867950813
11919,apartments,33732.79287456139,30,1011983.7862368417,large_sqft,40.69853786986924,-73.99203404969685
328462,apartments,24471.656648548156,41,1003337.9225904744,large_sqft,40.73639027672217,-73.95976738873829
