building,unit_of_measure,production_rate1,attraction_rate1,production_rate2,attraction_rate2,production_rate3,attraction_rate3,production_rate4,attraction_rate4,production_notes,attraction_notes
Office (multi-tenant type building),per 1000 sf,1.98,16.02,9.36,8.64,14.94,3.06,26.28,27.72,1,1
Residential (3 or more floors),per DU,6.3804,1.7995999999999999,4.09,4.09,3.0265999999999997,5.1533999999999995,13.497,11.043,1,1
Residential (2 floors or less),per DU,9.828,2.772,6.3,6.3,4.662,7.938,20.79,17.01,1,1
Residential (NYCHA),per DU,12.225000000000001,4.075,7.987,8.313,3.912,12.388,24.124,24.776,1,1
Hotel,per room,7.194000000000001,3.7060000000000004,6.104000000000001,4.796,5.014,5.886000000000001,18.312,14.388,1,1
Home Improvement Store,per 1000 sf,34.56,37.44,36.0,36.0,35.28,36.72,105.84,110.16,1,1
Supermarket,per 1000 sf,125.44,130.56,125.44,130.56,128.0,128.0,378.88,389.12,1,1
Supermarket (Staten Island only),per 1000 sf,66.0,84.00000000000001,78.0,72.0,73.5,76.5,217.5,232.5,1,1
Museum,per 1000 sf,0.0,27.0,15.389999999999999,11.61,18.63,8.37,34.02,46.98,1,1
Passive Park Space,per acre,18.04,25.959999999999997,19.8,24.200000000000003,19.8,24.200000000000003,57.64,74.36,1,1
Active Park Space,per acre,56.989999999999995,82.00999999999999,62.550000000000004,76.45,62.550000000000004,76.45,182.09,234.91,1,1
Local Retail,per 1000 sf,154.63,174.37,164.5,164.5,164.5,164.5,483.63,503.37,1,1
Destination Retail,per 1000 sf,28.934,49.266000000000005,36.754,41.446000000000005,39.882000000000005,38.318,105.57,129.03,1,1
Fast Food Restaurant with Drive Through Window,per 1000 sf,483.63,503.37,513.24,473.76,483.63,503.37,1480.5,1480.5,1,1
Fast Food Restaurant without Drive Through Window,per 1000 sf,420.75,404.25,420.75,404.25,437.25,387.75,1278.75,1196.25,1,1
Sit Down/High Turnover Restaurant,per 1000 sf,88.56,157.44,113.16000000000001,132.84,115.61999999999999,130.38,317.34,420.66,1,1
Public School (Students),per student,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1,1
Public School (Parents),per student,2.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,1,1
Public School (Staff),per student,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1,1
Daycare (Children),per 1000 sf,0.0,22.0,0.0,0.0,22.0,0.0,22.0,22.0,1,1
Daycare (Parents),per 1000 sf,22.0,22.0,0.0,0.0,22.0,22.0,44.0,44.0,1,1
Daycare (Staff),per 10000 sf,0.0,6.0,3.0,3.0,6.0,0.0,9.0,9.0,1,1
Academic University,per 1000 sf,1.596,25.004,14.364000000000003,12.236,14.896000000000003,11.704,30.856,48.944,1,1
Cineplex,per seat,0.163,3.0969999999999995,1.2388,2.0212,1.4996,1.7604,2.9014,6.8786,1,1
Health Club,per 1000 sf,22.188,29.412,22.188,29.412,23.220000000000002,26.832,67.596,85.656,1,1
Health Club with Preschool/Guest Room Service,per 1000 sf,34.224000000000004,40.17600000000001,41.66400000000001,31.992,32.736000000000004,41.66400000000001,108.624,113.832,1,1
Television Studio,per 1000 sf,2.6,7.4,5.1,4.9,6.6000000000000005,3.4000000000000004,14.3,15.7,1,1
Medical Office,per 1000 sf,28.348,46.251999999999995,39.538,35.062,48.489999999999995,26.109999999999996,116.376,107.424,1,1
Senior Center,per 1000 sf,11.832,22.968,17.4,17.4,22.619999999999997,12.179999999999998,51.852,52.548,1,1
